"B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M","GEO_ID","NAME"
"1346","531","743","318","39","68","47","81","64","55","13","20","0","12","0","12","28","49","0","12","135","103","39","51","9","16","47","52","70","99","47","49","23","32","23","24","17","18","0","12","0","12","41","36","64","53","37","36","0","12","603","260","40","36","49","59","40","41","0","12","0","12","0","12","0","12","17","25","39","50","71","79","25","44","22","26","28","44","43","47","33","33","0","12","16","17","17","24","23","29","30","49","68","69","42","43","0","12","1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii"
"724","424","274","180","0","12","89","115","0","12","0","12","0","12","3","11","0","12","9","16","27","45","0","12","21","24","29","41","13","21","8","14","23","36","12","15","0","12","5","8","8","10","21","27","6","10","0","12","0","12","450","260","34","49","89","86","11","18","0","12","0","12","12","18","17","22","4","7","30","43","9","15","86","135","35","43","39","51","7","11","14","22","0","12","6","10","14","14","43","28","0","12","0","12","0","12","0","12","1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii"
"1307","395","601","217","40","58","0","12","0","12","0","12","0","12","10","16","13","21","12","21","69","59","45","68","174","120","41","58","3","7","19","26","17","19","0","12","37","46","26","39","18","19","10","23","6","11","18","29","43","57","706","257","42","66","1","3","0","12","0","12","0","12","0","12","12","20","19","18","158","153","19","29","11","14","79","83","0","12","17","20","34","24","36","43","26","40","23","37","12","14","35","31","92","95","37","38","53","49","1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii"
"1129","561","777","478","0","12","68","92","0","12","0","12","0","12","0","12","0","12","129","113","83","71","0","12","0","12","217","259","0","12","0","12","116","172","0","12","47","77","0","12","20","34","0","12","0","12","0","12","97","135","352","172","38","69","0","12","0","12","0","12","0","12","0","12","0","12","20","32","106","106","17","29","0","12","0","12","12","24","0","12","0","12","0","12","0","12","20","33","48","75","13","21","0","12","78","120","0","12","1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii"
"1452","588","639","324","51","68","0","12","48","67","108","124","0","12","33","48","0","12","70","76","76","71","77","73","0","12","0","12","67","72","44","56","51","79","0","12","0","12","0","12","0","12","14","21","0","12","0","12","0","12","813","359","42","64","103","129","9","18","22","35","109","127","0","12","0","12","83","96","38","68","0","12","86","119","13","26","0","12","19","31","71","58","51","81","36","47","51","64","0","12","16","28","0","12","48","65","16","27","1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii"
"1863","420","774","266","82","59","44","30","18","33","12","19","179","79","42","43","27","32","172","160","79","47","45","72","20","37","0","12","0","12","0","12","32","39","0","12","9","21","0","12","13","25","0","12","0","12","0","12","0","12","1089","301","111","74","132","73","46","32","80","58","278","147","42","37","85","70","28","29","15","20","8","21","100","57","17","33","0","12","0","12","78","81","19","33","0","12","0","12","0","12","13","21","37","60","0","12","0","12","1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii"
"1349","577","707","334","0","12","109","111","42","71","39","70","0","12","0","12","32","51","21","35","77","86","70","101","17","27","0","12","15","25","41","41","0","12","13","22","2","3","18","28","63","77","30","38","102","111","0","12","16","24","642","278","110","139","0","12","19","33","0","12","0","12","0","12","0","12","0","12","57","51","124","128","0","12","0","12","16","25","52","47","47","45","18","29","16","24","17","26","52","45","62","56","17","26","0","12","35","41","1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii"
"781","191","429","105","18","24","10","13","24","28","9","13","27","31","0","12","0","12","0","12","38","31","0","12","0","12","26","26","60","51","62","51","23","28","36","32","11","15","54","49","0","12","9","12","0","12","13","17","9","11","352","114","28","32","45","44","15","14","0","12","0","12","0","12","10","14","17","23","9","12","29","22","33","30","27","36","9","12","65","57","21","20","0","12","3","5","0","12","0","12","21","14","2","3","0","12","18","13","1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii"
"957","195","441","92","8","8","27","16","68","41","13","12","3","3","0","12","2","3","6","7","17","11","19","13","49","41","22","15","28","20","14","11","35","31","19","15","11","9","8","10","1","3","13","10","12","7","25","22","41","41","516","116","20","17","48","44","26","16","36","21","15","11","7","8","4","4","9","7","42","37","11","11","18","11","24","16","46","39","31","31","26","16","14","8","14","12","2","4","23","14","24","14","3","5","31","20","42","43","1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii"
"1712","205","828","118","76","39","63","30","63","21","49","17","36","16","12","9","14","10","24","14","41","19","46","26","49","16","43","19","52","21","42","17","54","20","14","9","44","17","17","9","15","11","42","22","17","12","8","9","7","10","884","118","36","17","54","18","55","22","52","34","55","29","8","10","14","11","31","17","41","17","38","16","22","13","64","21","83","30","27","16","56","20","32","13","35","14","41","16","59","28","48","17","7","6","5","8","21","11","1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii"
"2373","394","1124","170","42","31","65","27","101","38","66","24","27","15","34","16","2","3","62","46","68","54","99","49","70","33","46","15","65","31","58","22","78","34","12","8","40","20","14","12","48","33","41","24","63","34","15","11","8","9","1249","277","32","17","29","13","59","20","24","13","37","17","7","7","5","8","70","65","23","15","78","32","79","34","78","50","57","22","66","24","90","56","49","30","143","88","34","20","35","14","78","55","31","17","31","17","114","106","1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii"
"2100","384","1162","275","128","102","35","40","57","56","25","24","0","12","0","12","0","12","55","59","82","70","50","49","51","51","80","66","51","40","55","41","53","31","0","12","77","66","54","41","85","66","57","48","49","47","9","14","109","66","938","192","12","17","54","39","39","46","23","26","17","28","0","12","0","12","53","42","95","79","40","38","51","38","81","71","34","29","68","52","45","38","21","24","41","38","10","15","17","26","28","25","46","37","93","55","70","55","1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii"
"1490","343","702","224","0","12","54","47","21","24","70","65","56","59","22","34","0","12","0","12","108","104","62","58","9","17","10","14","27","27","15","18","100","106","18","20","44","49","7","12","14","22","5","11","47","60","13","21","0","12","788","222","0","12","33","31","36","39","0","12","13","21","14","23","0","12","142","160","84","94","4","9","67","67","8","13","50","43","53","57","49","36","66","67","78","53","19","26","0","12","0","12","11","17","37","48","24","28","1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii"
"1068","287","531","177","16","26","32","31","11","19","0","12","0","12","0","12","0","12","0","12","30","33","83","94","0","12","42","50","0","12","73","49","0","12","11","17","31","27","10","16","48","39","90","52","44","46","0","12","10","18","537","138","15","18","11","19","0","12","0","12","0","12","21","26","0","12","16","28","34","34","51","41","0","12","16","24","58","55","10","17","30","29","33","31","15","20","24","27","27","24","65","58","49","51","13","21","49","35","1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii"
"1288","342","544","115","0","12","12","20","12","20","13","19","0","12","15","23","0","12","21","24","49","41","60","61","15","19","32","34","7","12","35","28","104","43","18","20","39","43","3","5","12","15","54","32","29","28","14","18","0","12","744","292","9","17","53","56","90","96","0","12","0","12","0","12","0","12","0","12","51","46","91","107","94","115","27","27","36","33","32","36","37","28","70","57","9","15","7","11","40","30","40","28","35","30","8","14","15","18","1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii"
"1931","445","907","218","31","29","74","48","98","79","36","31","10","18","0","12","0","12","30","29","49","50","55","55","23","25","26","31","74","55","59","42","19","26","0","12","119","78","9","12","58","36","42","43","55","42","25","32","15","18","1024","255","49","49","93","70","26","33","29","34","18","28","13","17","32","42","8","13","78","60","25","26","88","61","27","29","55","41","55","42","59","57","49","33","41","32","11","17","21","18","66","79","76","51","52","43","53","46","1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii"
"1477","346","724","199","68","99","21","26","52","52","49","46","27","39","0","12","23","26","14","18","33","32","24","25","10","16","76","57","39","31","67","62","10","12","38","32","30","27","9","15","24","26","56","43","27","28","10","16","17","20","753","198","15","18","53","39","51","48","11","17","0","12","34","43","0","12","30","29","12","18","30","26","26","30","54","61","32","26","58","63","7","13","30","27","35","28","29","36","29","24","50","40","63","67","34","32","70","57","1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii"
"1451","274","708","160","17","19","12","18","61","36","21","20","6","11","7","13","0","12","39","34","36","33","27","28","33","30","30","27","70","49","20","21","74","99","44","34","21","21","15","14","51","36","67","28","20","22","22","22","15","23","743","166","16","22","36","27","31","28","13","15","17","26","0","12","0","12","0","12","9","15","8","14","37","32","51","37","53","36","29","24","92","69","46","37","31","25","39","38","6","10","26","20","26","25","15","22","162","116","1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii"
"2371","442","1075","249","48","53","82","66","109","98","10","15","13","21","0","12","19","22","52","48","26","30","77","65","107","62","60","49","57","47","101","52","81","61","28","19","46","40","2","4","18","17","19","20","94","58","8","12","18","19","1296","266","66","56","84","55","64","62","103","57","23","29","0","12","28","42","106","78","67","54","15","15","90","60","75","57","38","36","111","51","110","58","27","27","15","19","20","19","33","31","68","53","60","52","28","31","65","71","1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii"
"1027","558","635","416","176","203","32","48","28","42","0","12","0","12","0","12","0","12","15","23","102","98","0","12","60","51","33","31","13","22","29","29","9","13","0","12","23","22","10","16","7","11","37","34","45","44","16","26","0","12","392","159","10","16","25","27","26","30","5","10","0","12","0","12","0","12","23","39","16","18","70","96","28","44","39","28","25","29","7","12","14","13","0","12","10","17","29","35","20","18","39","29","6","11","0","12","0","12","1500000US150010208013","Block Group 3, Census Tract 208.01, Hawaii County, Hawaii"
"1371","362","545","191","5","7","49","75","1","3","0","12","5","9","0","12","0","12","26","38","32","43","62","77","60","70","123","104","17","25","5","7","41","39","4","7","30","32","5","5","17","28","17","23","20","27","14","22","12","13","826","228","3","5","69","101","25","33","42","41","0","12","5","9","0","12","45","49","3","4","65","73","92","90","4","7","40","40","59","53","138","166","52","47","19","26","35","37","42","37","19","26","8","7","15","21","46","36","1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii"
"460","204","243","136","0","12","0","12","72","88","0","12","0","12","0","12","27","43","0","12","0","12","0","12","0","12","5","10","0","12","18","32","0","12","42","49","0","12","9","15","0","12","0","12","30","35","28","31","12","20","217","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","26","40","0","12","0","12","0","12","0","12","16","27","0","12","51","49","14","24","0","12","10","16","14","23","30","34","13","23","43","41","0","12","1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii"
"2847","630","1187","310","89","94","122","118","156","132","0","12","16","28","0","12","0","12","0","12","175","77","49","63","13","22","77","87","40","46","111","81","44","68","55","41","30","45","15","26","56","44","12","20","5","10","28","31","94","87","1660","386","5","13","120","96","115","135","116","70","0","12","21","34","0","12","41","44","169","114","54","61","104","83","150","149","139","97","131","100","14","23","128","98","33","37","31","34","20","24","61","67","32","33","74","84","102","71","1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii"
"1006","387","512","213","53","56","0","12","63","61","35","44","0","12","0","12","0","12","40","53","43","67","40","54","25","39","19","34","10","18","43","50","23","37","7","15","11","19","0","12","14","23","38","42","31","36","9","15","8","14","494","188","43","57","29","44","11","21","0","12","23","39","0","12","0","12","66","78","0","12","60","56","0","12","68","75","31","37","47","59","0","12","17","28","0","12","11","20","25","24","9","15","48","50","6","10","0","12","1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii"
"1137","475","543","272","0","12","66","86","67","86","0","12","0","12","0","12","0","12","0","12","0","12","0","12","78","103","0","12","39","47","0","12","0","12","35","37","96","72","0","12","0","12","75","90","40","71","23","26","24","32","594","250","0","12","50","79","106","96","30","52","30","51","0","12","0","12","27","43","29","45","48","58","23","38","86","84","17","29","0","12","33","35","23","37","0","12","0","12","0","12","13","23","66","62","0","12","13","22","1500000US150010208025","Block Group 5, Census Tract 208.02, Hawaii County, Hawaii"
"724","238","344","120","0","12","0","12","8","12","0","12","48","60","0","12","11","19","0","12","10","16","25","39","11","18","41","50","8","11","46","43","8","10","16","24","22","24","29","28","0","12","23","19","26","28","0","12","12","20","380","157","0","12","56","67","27","40","0","12","0","12","0","12","20","35","11","17","0","12","41","49","10","16","0","12","38","39","7","13","4","7","0","12","18","24","8","13","11","17","52","53","31","32","34","32","12","19","1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii"
"1511","401","780","204","33","38","57","44","102","109","0","12","0","12","0","12","0","12","50","51","11","17","44","41","61","51","75","85","16","18","32","31","21","23","21","32","103","57","22","32","47","38","59","43","26","28","0","12","0","12","731","239","27","29","100","147","68","83","28","44","0","12","11","18","0","12","0","12","9","15","23","32","57","40","0","12","77","66","12","20","24","29","23","28","116","59","0","12","58","45","10","13","28","27","13","18","47","45","1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii"
"800","333","397","163","0","12","36","52","32","34","15","16","0","12","18","26","0","12","0","12","79","75","56","46","16","19","0","12","16","20","80","53","27","30","0","12","0","12","0","12","0","12","9","13","0","12","0","12","13","21","403","186","19","24","22","30","42","42","43","40","6","13","0","12","0","12","31","34","41","47","0","12","50","50","14","17","40","46","34","33","7","12","20","28","0","12","12","18","0","12","8","13","0","12","0","12","14","21","1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii"
"678","210","296","111","14","22","56","52","25","40","12","18","0","12","0","12","0","12","0","12","0","12","13","19","16","22","20","23","23","26","16","15","32","36","23","19","18","20","0","12","19","20","6","9","0","12","3","5","0","12","382","123","0","12","28","31","51","47","3","7","0","12","0","12","0","12","10","18","42","58","36","35","12","20","48","38","22","32","57","44","2","6","12","18","35","27","0","12","11","16","13","18","0","12","0","12","0","12","1500000US150010209004","Block Group 4, Census Tract 209, Hawaii County, Hawaii"
"1063","282","589","191","28","31","25","33","5","9","21","26","0","12","0","12","0","12","119","146","11","19","64","48","24","27","12","17","12","15","62","62","23","37","16","17","32","39","12","19","32","28","53","63","9","13","21","35","8","13","474","152","9","15","8","14","26","26","19","21","30","36","0","12","0","12","0","12","26","30","44","45","11","16","6","10","15","17","37","47","86","61","0","12","54","40","11","18","23","20","22","17","25","27","20","31","2","4","1500000US150010209005","Block Group 5, Census Tract 209, Hawaii County, Hawaii"
"1519","392","809","228","0","12","9","14","48","47","6","11","7","10","8","12","0","12","0","12","126","104","14","22","24","29","26","33","41","37","73","77","125","90","73","61","18","20","44","40","60","55","82","52","25","30","0","12","0","12","710","242","16","19","17","28","80","91","84","61","16","26","0","12","11","18","12","20","23","25","15","25","61","47","17","27","109","91","40","37","44","49","32","30","15","18","12","20","73","71","33","30","0","12","0","12","0","12","1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii"
"1156","444","655","292","0","12","11","17","142","97","69","71","26","32","23","34","0","12","8","12","13","19","13","15","36","42","102","93","22","28","61","44","30","27","0","12","43","39","0","12","7","14","30","49","19","29","0","12","0","12","501","189","0","12","11","18","52","42","45","50","13","22","0","12","0","12","0","12","21","20","16","19","72","55","47","43","45","39","34","33","29","34","0","12","25","32","16","12","5","8","24","25","25","33","21","34","0","12","1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii"
"2480","612","1384","369","116","74","262","152","169","107","46","52","6","9","0","12","0","12","91","103","46","42","80","58","104","61","133","118","27","37","0","12","113","70","36","37","0","12","19","24","11","12","44","43","47","38","34","43","0","12","1096","317","65","60","46","48","93","82","37","46","26","40","31","37","0","12","85","84","49","42","82","47","83","55","32","33","141","128","36","37","93","67","24","31","77","82","5","8","10","11","34","43","47","42","0","12","0","12","1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii"
"529","306","181","187","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","31","56","90","50","75","0","12","0","12","0","12","0","12","54","84","0","12","0","12","0","12","0","12","0","12","348","195","0","12","0","12","34","54","0","12","0","12","0","12","0","12","0","12","65","92","0","12","23","36","0","12","0","12","0","12","0","12","47","73","15","22","48","67","0","12","116","126","0","12","0","12","0","12","1500000US150010210034","Block Group 4, Census Tract 210.03, Hawaii County, Hawaii"
